Date,Open,High,Low,Close,Adj Close,Volume
2017-03-01,1.058000,1.059300,1.051800,1.054800,1.054800,13590
2017-03-02,1.055400,1.055400,1.049800,1.050500,1.050500,10249
2017-03-03,1.051500,1.062700,1.050600,1.060100,1.060100,14428
2017-03-05,null,null,null,null,null,null
2017-03-06,1.062100,1.064300,1.057700,1.059000,1.059000,11632
2017-03-07,1.058200,1.060600,1.056100,1.057000,1.057000,8273
2017-03-08,1.056800,1.057600,1.053600,1.055000,1.055000,9386
2017-03-09,1.054000,1.061600,1.052600,1.059300,1.059300,13733
2017-03-10,1.057500,1.074300,1.057200,1.069300,1.069300,2637
2017-03-12,null,null,null,null,null,null
2017-03-13,1.068400,1.070300,1.066000,1.066400,1.066400,9508
2017-03-14,1.070200,1.071200,1.064900,1.066000,1.066000,10016
2017-03-15,1.065500,1.079000,1.065400,1.075300,1.075300,14487
2017-03-16,1.078400,1.081900,1.075400,1.079700,1.079700,11659
2017-03-17,1.081800,1.083100,1.077800,1.079100,1.079100,10542
2017-03-19,null,null,null,null,null,null
2017-03-20,1.078700,1.082500,1.077300,1.078100,1.078100,7755
2017-03-21,1.078500,1.086700,1.076800,1.084700,1.084700,11801
2017-03-22,1.085600,1.087200,1.082300,1.084400,1.084400,10261
2017-03-23,1.084000,1.085100,1.081400,1.083100,1.083100,8837
2017-03-24,1.082600,1.086200,1.080600,1.085000,1.085000,9835
2017-03-26,null,null,null,null,null,null
2017-03-27,1.087500,1.094900,1.086400,1.091100,1.091100,10309
2017-03-28,1.090700,1.091500,1.084200,1.085100,1.085100,9183
2017-03-29,1.085600,1.086800,1.078300,1.080000,1.080000,11879
2017-03-30,1.080700,1.081000,1.071000,1.072900,1.072900,12056
2017-03-31,1.071800,1.074000,1.069000,1.072200,1.072200,10112
2017-04-02,null,null,null,null,null,null
2017-04-03,1.070300,1.071900,1.068100,1.070500,1.070500,8000
2017-04-04,1.070600,1.071300,1.067300,1.070500,1.070500,7214
2017-04-05,1.071400,1.072600,1.067000,1.070300,1.070300,10902
2017-04-06,1.069900,1.071900,1.066400,1.068200,1.068200,9835
2017-04-07,1.068400,1.070200,1.061500,1.062400,1.062400,11217
2017-04-09,null,null,null,null,null,null
2017-04-10,1.062500,1.064200,1.060400,1.062900,1.062900,7642
2017-04-11,1.062900,1.066400,1.061300,1.064200,1.064200,8641
2017-04-12,1.063800,1.070600,1.062100,1.062700,1.062700,10020
2017-04-13,1.069900,1.071000,1.064000,1.065400,1.065400,9465
2017-04-16,null,null,null,null,null,null
2017-04-17,1.064600,1.070300,1.063500,1.067400,1.067400,7169
2017-04-18,1.067600,1.076800,1.066900,1.076200,1.076200,13630
2017-04-19,1.076400,1.076800,1.073100,1.075100,1.075100,8729
2017-04-20,1.074000,1.080600,1.073800,1.075000,1.075000,12106
2017-04-21,1.074200,1.076700,1.071100,1.072400,1.072400,11948
2017-04-23,null,null,null,null,null,null
2017-04-24,1.087200,1.093200,1.085000,1.088600,1.088600,22552
2017-04-25,1.089300,1.097800,1.087900,1.096700,1.096700,15920
2017-04-26,1.095400,1.097800,1.088300,1.092600,1.092600,17577
2017-04-27,1.092900,1.095900,1.087700,1.090900,1.090900,24531
2017-04-28,1.089600,1.097300,1.088200,1.092100,1.092100,16622
2017-04-30,null,null,null,null,null,null
2017-05-01,1.092000,1.094900,1.090900,1.093100,1.093100,6271
2017-05-02,1.092200,1.095800,1.091300,1.095200,1.095200,9099
2017-05-03,1.095400,1.096200,1.090700,1.092800,1.092800,10686
2017-05-04,1.090900,1.101000,1.089700,1.100000,1.100000,15286
2017-05-05,1.101000,1.102300,1.097200,1.101100,1.101100,12645
2017-05-07,null,null,null,null,null,null
2017-05-08,1.103300,1.103600,1.093700,1.095400,1.095400,15894
2017-05-09,1.094600,1.095400,1.088400,1.088900,1.088900,12036
2017-05-10,1.089500,1.091900,1.087400,1.088200,1.088200,9489
2017-05-11,1.088600,1.091200,1.085800,1.088500,1.088500,10968
2017-05-12,1.087900,1.095200,1.087500,1.094200,1.094200,11181
2017-05-14,null,null,null,null,null,null
2017-05-15,1.095000,1.100800,1.094100,1.099500,1.099500,8801
2017-05-16,1.099600,1.111500,1.099500,1.111200,1.111200,14752
2017-05-17,1.110000,1.118000,1.109800,1.116600,1.116600,14027
2017-05-18,1.118100,1.118800,1.109200,1.112000,1.112000,14397
2017-05-19,1.111700,1.122700,1.111500,1.122000,1.122000,8524
2017-05-21,null,null,null,null,null,null
2017-05-22,1.122700,1.127900,1.117600,1.125100,1.125100,11687
2017-05-23,1.125300,1.128300,1.119000,1.119900,1.119900,14332
2017-05-24,1.119600,1.123500,1.118300,1.121200,1.121200,12129
2017-05-25,1.122700,1.126200,1.120500,1.121600,1.121600,9086
2017-05-26,1.122300,1.124600,1.117200,1.119000,1.119000,10677
2017-05-28,null,null,null,null,null,null
2017-05-30,1.118900,1.121700,1.112100,1.119900,1.119900,20016
2017-05-31,1.119200,1.126200,1.117500,1.125600,1.125600,10946
2017-06-01,1.125000,1.126700,1.121000,1.122400,1.122400,8714
2017-06-02,1.122300,1.129300,1.121300,1.128500,1.128500,10264
2017-06-04,null,null,null,null,null,null
2017-06-05,1.129000,1.129000,1.124200,1.126500,1.126500,7187
2017-06-06,1.126300,1.129100,1.124700,1.127500,1.127500,8952
2017-06-07,1.128500,1.128900,1.121100,1.126100,1.126100,12399
2017-06-08,1.126300,1.127500,1.119900,1.122800,1.122800,18893
2017-06-09,1.121100,1.122000,1.117000,1.120200,1.120200,10880
2017-06-11,null,null,null,null,null,null
2017-06-12,1.121000,1.123600,1.119600,1.121200,1.121200,7187
2017-06-13,1.120800,1.122800,1.118800,1.121500,1.121500,6622
2017-06-14,1.121200,1.129900,1.119600,1.121900,1.121900,15057
2017-06-15,1.121900,1.123000,1.113400,1.115400,1.115400,10850
2017-06-16,1.114900,1.120600,1.113400,1.119400,1.119400,1821
2017-06-18,null,null,null,null,null,null
2017-06-19,1.120100,1.121600,1.117500,1.117800,1.117800,7728
2017-06-20,1.120300,1.121900,1.117200,1.118300,1.118300,8262
2017-06-21,1.118500,1.122400,1.118100,1.121600,1.121600,6729
2017-06-22,1.122000,1.122900,1.119000,1.119900,1.119900,5561
2017-06-23,1.120300,1.126100,1.119600,1.124800,1.124800,6429
2017-06-25,null,null,null,null,null,null
